Start Date,End Date,Fund,Name,Service,Start Price,End Price,Price Diff,% Return (Annual),Updated
2017-06-01,2019-04-01,ASR       ,Aus Resource                                                                                                                                                                                            ,SHARESIES           ,3.5112,4.915,1.4038,21.81,YES
2017-06-01,2019-04-01,FPZ       ,Fisher NZ Growth Fund                                                                                                                                                                                   ,INVESTNOW           ,7.4277,9.4322,2.0045,14.72,YES
2017-06-01,2019-04-01,NPE       ,Nikki Core Equity Fund                                                                                                                                                                                  ,INVESTNOW           ,1.9201,2.3994,0.4793,13.62,YES
2017-06-01,2019-04-01,FPG       ,Fisher Global Growth Fund                                                                                                                                                                               ,INVESTNOW           ,1.7568,2.1821,0.4253,13.21,NO
2017-06-01,2019-04-01,USG       ,US Large Growth                                                                                                                                                                                         ,SUPERLIFE           ,3.59,4.4249,0.8349,12.69,YES
2017-06-01,2019-04-01,FPP       ,Fisher Property and Infrastructure                                                                                                                                                                      ,INVESTNOW           ,2.2172,2.7223,0.5051,12.43,NO
2017-06-01,2019-04-01,MDZ       ,NZ Mid Size                                                                                                                                                                                             ,SHARESIES           ,4.2575,5.1678,0.9103,11.67,NO
2017-06-01,2019-04-01,USF       ,US 500,SHARESIES           ,6.2477,7.529,1.2813,11.19,NO
2017-06-01,2019-04-01,FPA       ,Fisher Aus Growth Fund                                                                                                                                                                                  ,INVESTNOW           ,3.1987,3.8539,0.6552,11.18,YES
2017-06-01,2019-04-01,NPC       ,Nikki Core Concentrated Fund                                                                                                                                                                            ,INVESTNOW           ,1.9014,2.2858,0.3844,11.03,YES