Date,Comment
01/01/15,New Year Day
02/01/15,2nd Jan
22/01/15,
06/02/15,Waitangi Day
01/04/15,Milford
02/04/15,Milford
03/04/15,Easter Friday
06/04/15,Easter Monday
27/04/15,ANZAC Day
01/06/15,Queens Birthday
26/10/15,Labour Day
25/12/15,Xmas day
28/12/15,Boxing Day
01/01/16,1st Jan
04/01/16,2nd Jan
01/02/16,Auckland Holiday
08/02/16,Waitangi Day
25/03/16,Good Friday
28/03/16,Good Monday
01/04/16,EOY
04/04/16,EOY
25/04/16,ANZAC Day
06/06/16,Queens Birthday
24/10/16,Labour Day
26/12/16,Boxing Day
26/12/16,Christmas Day Holiday
27/12/16,Christmas Day
27/12/16,Boxing Day Holiday
02/01/17,2nd Jan
03/01/17,1st Jan
30/01/17,Auckland Holiday
30/01/17,Auckland Anniversary
06/02/17,Waitangi Day
03/04/17,Milford Accounting
04/04/17,Milford Accounting
14/04/17,Easter Friday
17/04/17,Easter Monday
25/04/17,Anzac Day
05/06/17,Queen Birthday
23/10/17,Labour Day
25/12/17,Christmas Day
26/12/17,Boxing Day
01/01/18,New Year Day
02/01/18,2nd January
06/02/18,Waitangi Day
30/03/18,Good Friday
02/04/18,Good Monday
25/04/18,ANZAC Day
04/06/18,Queens Birthday
22/10/18,Labour Day
25/12/18,Xmas Day
26/12/18,Boxing Day
01/01/19,New Year Day
02/01/19,2nd Jan
25/01/19,Auckland Anniversary Day
06/02/19,Waitangi Day
19/04/19,Easter Friday
22/04/19,Easter Monday
25/04/19,ANZAC Day
03/06/19,Queens Birthday 